medicine name,bangla name,generic,company,category,strength,dosage form,pack size,sku,barcode,mrp,selling price,purchase price,stock quantity,unit type,batch number,expiry date,prescription required,active,image url,aliases,uses,dosage,side effects,warnings,storage,alternatives
Paracetamol 500mg Tablet BEAC,,Paracetamol,Beacon Pharmaceuticals,Pain & Fever,500mg,Tablet,10 units/strip,MB-00013,8801602000013,17.15,16.12,12.57,43,tablet,MB240013,2029-02-15,no,yes,/assets/images/medicine-placeholder.svg,Paracetamol; Pain & Fever; Beacon Pharmaceuticals,"Fever, headache and mild pain",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Paracetamol
Paracetamol 500mg Tablet POPU,,Paracetamol,Popular Pharmaceuticals,Pain & Fever,500mg,Tablet,10 units/strip,MB-00014,8801602000014,17.15,16.12,12.57,44,tablet,MB240014,2030-03-15,no,yes,/assets/images/medicine-placeholder.svg,Paracetamol; Pain & Fever; Popular Pharmaceuticals,"Fever, headache and mild pain",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Paracetamol
Paracetamol 500mg Tablet NUVI,,Paracetamol,Nuvista Pharma,Pain & Fever,500mg,Tablet,10 units/strip,MB-00015,8801602000015,17.15,16.12,12.57,45,tablet,MB240015,2028-04-15,no,yes,/assets/images/medicine-placeholder.svg,Paracetamol; Pain & Fever; Nuvista Pharma,"Fever, headache and mild pain",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Paracetamol
Paracetamol 500mg Tablet ORIO,,Paracetamol,Orion Pharma,Pain & Fever,500mg,Tablet,10 units/strip,MB-00016,8801602000016,17.15,16.12,12.57,46,tablet,MB240016,2029-05-15,no,yes,/assets/images/medicine-placeholder.svg,Paracetamol; Pain & Fever; Orion Pharma,"Fever, headache and mild pain",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Paracetamol
Paracetamol 650mg Tablet SQUA,,Paracetamol,Square Pharmaceuticals,Pain & Fever,650mg,Tablet,10 units/strip,MB-00017,8801602000017,17.15,16.12,12.57,47,tablet,MB240017,2030-06-15,no,yes,/assets/images/medicine-placeholder.svg,Paracetamol; Pain & Fever; Square Pharmaceuticals,"Fever, headache and mild pain",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Paracetamol
Paracetamol 650mg Tablet BEXI,,Paracetamol,Beximco Pharmaceuticals,Pain & Fever,650mg,Tablet,10 units/strip,MB-00018,8801602000018,17.15,16.12,12.57,48,tablet,MB240018,2028-07-15,no,yes,/assets/images/medicine-placeholder.svg,Paracetamol; Pain & Fever; Beximco Pharmaceuticals,"Fever, headache and mild pain",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Paracetamol
Paracetamol 650mg Tablet INCE,,Paracetamol,Incepta Pharmaceuticals,Pain & Fever,650mg,Tablet,10 units/strip,MB-00019,8801602000019,17.15,16.12,12.57,49,tablet,MB240019,2029-08-15,no,yes,/assets/images/medicine-placeholder.svg,Paracetamol; Pain & Fever; Incepta Pharmaceuticals,"Fever, headache and mild pain",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Paracetamol
Paracetamol 650mg Tablet RENA,,Paracetamol,Renata Limited,Pain & Fever,650mg,Tablet,10 units/strip,MB-00020,8801602000020,17.15,16.12,12.57,50,tablet,MB240020,2030-09-15,no,yes,/assets/images/medicine-placeholder.svg,Paracetamol; Pain & Fever; Renata Limited,"Fever, headache and mild pain",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Paracetamol
Paracetamol 650mg Tablet OPSO,,Paracetamol,Opsonin Pharma,Pain & Fever,650mg,Tablet,10 units/strip,MB-00021,8801602000021,17.15,16.12,12.57,51,tablet,MB240021,2028-10-15,no,yes,/assets/images/medicine-placeholder.svg,Paracetamol; Pain & Fever; Opsonin Pharma,"Fever, headache and mild pain",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Paracetamol
Paracetamol 650mg Tablet ESKA,,Paracetamol,Eskayef Pharmaceuticals,Pain & Fever,650mg,Tablet,10 units/strip,MB-00022,8801602000022,17.15,16.12,12.57,52,tablet,MB240022,2029-11-15,no,yes,/assets/images/medicine-placeholder.svg,Paracetamol; Pain & Fever; Eskayef Pharmaceuticals,"Fever, headache and mild pain",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Paracetamol
Paracetamol 650mg Tablet ACI,,Paracetamol,ACI Limited,Pain & Fever,650mg,Tablet,10 units/strip,MB-00023,8801602000023,17.15,16.12,12.57,53,tablet,MB240023,2030-12-15,no,yes,/assets/images/medicine-placeholder.svg,Paracetamol; Pain & Fever; ACI Limited,"Fever, headache and mild pain",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Paracetamol
Paracetamol 650mg Tablet ARIS,,Paracetamol,Aristopharma,Pain & Fever,650mg,Tablet,10 units/strip,MB-00024,8801602000024,17.15,16.12,12.57,54,tablet,MB240024,2028-01-15,no,yes,/assets/images/medicine-placeholder.svg,Paracetamol; Pain & Fever; Aristopharma,"Fever, headache and mild pain",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Paracetamol
Paracetamol 650mg Tablet HEAL,,Paracetamol,Healthcare Pharmaceuticals,Pain & Fever,650mg,Tablet,10 units/strip,MB-00025,8801602000025,17.15,16.12,12.57,55,tablet,MB240025,2029-02-15,no,yes,/assets/images/medicine-placeholder.svg,Paracetamol; Pain & Fever; Healthcare Pharmaceuticals,"Fever, headache and mild pain",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Paracetamol
Paracetamol 650mg Tablet DRUG,,Paracetamol,Drug International,Pain & Fever,650mg,Tablet,10 units/strip,MB-00026,8801602000026,17.15,16.12,12.57,56,tablet,MB240026,2030-03-15,no,yes,/assets/images/medicine-placeholder.svg,Paracetamol; Pain & Fever; Drug International,"Fever, headache and mild pain",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Paracetamol
Paracetamol 650mg Tablet ACME,,Paracetamol,Acme Laboratories,Pain & Fever,650mg,Tablet,10 units/strip,MB-00027,8801602000027,17.15,16.12,12.57,57,tablet,MB240027,2028-04-15,no,yes,/assets/images/medicine-placeholder.svg,Paracetamol; Pain & Fever; Acme Laboratories,"Fever, headache and mild pain",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Paracetamol
Paracetamol 650mg Tablet GENE,,Paracetamol,General Pharmaceuticals,Pain & Fever,650mg,Tablet,10 units/strip,MB-00028,8801602000028,17.15,16.12,12.57,58,tablet,MB240028,2029-05-15,no,yes,/assets/images/medicine-placeholder.svg,Paracetamol; Pain & Fever; General Pharmaceuticals,"Fever, headache and mild pain",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Paracetamol
Paracetamol 650mg Tablet BEAC,,Paracetamol,Beacon Pharmaceuticals,Pain & Fever,650mg,Tablet,10 units/strip,MB-00029,8801602000029,17.15,16.12,12.57,59,tablet,MB240029,2030-06-15,no,yes,/assets/images/medicine-placeholder.svg,Paracetamol; Pain & Fever; Beacon Pharmaceuticals,"Fever, headache and mild pain",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Paracetamol
Paracetamol 650mg Tablet POPU,,Paracetamol,Popular Pharmaceuticals,Pain & Fever,650mg,Tablet,10 units/strip,MB-00030,8801602000030,17.15,16.12,12.57,60,tablet,MB240030,2028-07-15,no,yes,/assets/images/medicine-placeholder.svg,Paracetamol; Pain & Fever; Popular Pharmaceuticals,"Fever, headache and mild pain",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Paracetamol
Paracetamol 650mg Tablet NUVI,,Paracetamol,Nuvista Pharma,Pain & Fever,650mg,Tablet,10 units/strip,MB-00031,8801602000031,17.15,16.12,12.57,61,tablet,MB240031,2029-08-15,no,yes,/assets/images/medicine-placeholder.svg,Paracetamol; Pain & Fever; Nuvista Pharma,"Fever, headache and mild pain",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Paracetamol
Paracetamol 650mg Tablet ORIO,,Paracetamol,Orion Pharma,Pain & Fever,650mg,Tablet,10 units/strip,MB-00032,8801602000032,17.15,16.12,12.57,62,tablet,MB240032,2030-09-15,no,yes,/assets/images/medicine-placeholder.svg,Paracetamol; Pain & Fever; Orion Pharma,"Fever, headache and mild pain",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Paracetamol
Ibuprofen 200mg Tablet SQUA,,Ibuprofen,Square Pharmaceuticals,Pain & Fever,200mg,Tablet,10 units/strip,MB-00033,8801602000033,15.85,14.90,11.62,63,tablet,MB240033,2028-10-15,no,yes,/assets/images/medicine-placeholder.svg,Ibuprofen; Pain & Fever; Square Pharmaceuticals,"Pain, fever and inflammation",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Ibuprofen
Ibuprofen 200mg Tablet BEXI,,Ibuprofen,Beximco Pharmaceuticals,Pain & Fever,200mg,Tablet,10 units/strip,MB-00034,8801602000034,15.85,14.90,11.62,64,tablet,MB240034,2029-11-15,no,yes,/assets/images/medicine-placeholder.svg,Ibuprofen; Pain & Fever; Beximco Pharmaceuticals,"Pain, fever and inflammation",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Ibuprofen
Ibuprofen 200mg Tablet INCE,,Ibuprofen,Incepta Pharmaceuticals,Pain & Fever,200mg,Tablet,10 units/strip,MB-00035,8801602000035,15.85,14.90,11.62,65,tablet,MB240035,2030-12-15,no,yes,/assets/images/medicine-placeholder.svg,Ibuprofen; Pain & Fever; Incepta Pharmaceuticals,"Pain, fever and inflammation",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Ibuprofen
Ibuprofen 200mg Tablet RENA,,Ibuprofen,Renata Limited,Pain & Fever,200mg,Tablet,10 units/strip,MB-00036,8801602000036,15.85,14.90,11.62,66,tablet,MB240036,2028-01-15,no,yes,/assets/images/medicine-placeholder.svg,Ibuprofen; Pain & Fever; Renata Limited,"Pain, fever and inflammation",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Ibuprofen
Ibuprofen 200mg Tablet OPSO,,Ibuprofen,Opsonin Pharma,Pain & Fever,200mg,Tablet,10 units/strip,MB-00037,8801602000037,15.85,14.90,11.62,67,tablet,MB240037,2029-02-15,no,yes,/assets/images/medicine-placeholder.svg,Ibuprofen; Pain & Fever; Opsonin Pharma,"Pain, fever and inflammation",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Ibuprofen
Ibuprofen 200mg Tablet ESKA,,Ibuprofen,Eskayef Pharmaceuticals,Pain & Fever,200mg,Tablet,10 units/strip,MB-00038,8801602000038,15.85,14.90,11.62,68,tablet,MB240038,2030-03-15,no,yes,/assets/images/medicine-placeholder.svg,Ibuprofen; Pain & Fever; Eskayef Pharmaceuticals,"Pain, fever and inflammation",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Ibuprofen
Ibuprofen 200mg Tablet ACI,,Ibuprofen,ACI Limited,Pain & Fever,200mg,Tablet,10 units/strip,MB-00039,8801602000039,15.85,14.90,11.62,69,tablet,MB240039,2028-04-15,no,yes,/assets/images/medicine-placeholder.svg,Ibuprofen; Pain & Fever; ACI Limited,"Pain, fever and inflammation",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Ibuprofen
Ibuprofen 200mg Tablet ARIS,,Ibuprofen,Aristopharma,Pain & Fever,200mg,Tablet,10 units/strip,MB-00040,8801602000040,15.85,14.90,11.62,70,tablet,MB240040,2029-05-15,no,yes,/assets/images/medicine-placeholder.svg,Ibuprofen; Pain & Fever; Aristopharma,"Pain, fever and inflammation",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Ibuprofen
Ibuprofen 200mg Tablet HEAL,,Ibuprofen,Healthcare Pharmaceuticals,Pain & Fever,200mg,Tablet,10 units/strip,MB-00041,8801602000041,15.85,14.90,11.62,71,tablet,MB240041,2030-06-15,no,yes,/assets/images/medicine-placeholder.svg,Ibuprofen; Pain & Fever; Healthcare Pharmaceuticals,"Pain, fever and inflammation",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Ibuprofen
Ibuprofen 200mg Tablet DRUG,,Ibuprofen,Drug International,Pain & Fever,200mg,Tablet,10 units/strip,MB-00042,8801602000042,15.85,14.90,11.62,72,tablet,MB240042,2028-07-15,no,yes,/assets/images/medicine-placeholder.svg,Ibuprofen; Pain & Fever; Drug International,"Pain, fever and inflammation",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Ibuprofen
Ibuprofen 200mg Tablet ACME,,Ibuprofen,Acme Laboratories,Pain & Fever,200mg,Tablet,10 units/strip,MB-00043,8801602000043,15.85,14.90,11.62,73,tablet,MB240043,2029-08-15,no,yes,/assets/images/medicine-placeholder.svg,Ibuprofen; Pain & Fever; Acme Laboratories,"Pain, fever and inflammation",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Ibuprofen
Ibuprofen 200mg Tablet GENE,,Ibuprofen,General Pharmaceuticals,Pain & Fever,200mg,Tablet,10 units/strip,MB-00044,8801602000044,15.85,14.90,11.62,74,tablet,MB240044,2030-09-15,no,yes,/assets/images/medicine-placeholder.svg,Ibuprofen; Pain & Fever; General Pharmaceuticals,"Pain, fever and inflammation",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Ibuprofen
Ibuprofen 200mg Tablet BEAC,,Ibuprofen,Beacon Pharmaceuticals,Pain & Fever,200mg,Tablet,10 units/strip,MB-00045,8801602000045,15.85,14.90,11.62,75,tablet,MB240045,2028-10-15,no,yes,/assets/images/medicine-placeholder.svg,Ibuprofen; Pain & Fever; Beacon Pharmaceuticals,"Pain, fever and inflammation",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Ibuprofen
Ibuprofen 200mg Tablet POPU,,Ibuprofen,Popular Pharmaceuticals,Pain & Fever,200mg,Tablet,10 units/strip,MB-00046,8801602000046,15.85,14.90,11.62,76,tablet,MB240046,2029-11-15,no,yes,/assets/images/medicine-placeholder.svg,Ibuprofen; Pain & Fever; Popular Pharmaceuticals,"Pain, fever and inflammation",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Ibuprofen
Ibuprofen 200mg Tablet NUVI,,Ibuprofen,Nuvista Pharma,Pain & Fever,200mg,Tablet,10 units/strip,MB-00047,8801602000047,15.85,14.90,11.62,77,tablet,MB240047,2030-12-15,no,yes,/assets/images/medicine-placeholder.svg,Ibuprofen; Pain & Fever; Nuvista Pharma,"Pain, fever and inflammation",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Ibuprofen
Ibuprofen 200mg Tablet ORIO,,Ibuprofen,Orion Pharma,Pain & Fever,200mg,Tablet,10 units/strip,MB-00048,8801602000048,15.85,14.90,11.62,78,tablet,MB240048,2028-01-15,no,yes,/assets/images/medicine-placeholder.svg,Ibuprofen; Pain & Fever; Orion Pharma,"Pain, fever and inflammation",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Ibuprofen
Ibuprofen 400mg Tablet SQUA,,Ibuprofen,Square Pharmaceuticals,Pain & Fever,400mg,Tablet,10 units/strip,MB-00049,8801602000049,15.85,14.90,11.62,79,tablet,MB240049,2029-02-15,no,yes,/assets/images/medicine-placeholder.svg,Ibuprofen; Pain & Fever; Square Pharmaceuticals,"Pain, fever and inflammation",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Ibuprofen
Ibuprofen 400mg Tablet BEXI,,Ibuprofen,Beximco Pharmaceuticals,Pain & Fever,400mg,Tablet,10 units/strip,MB-00050,8801602000050,15.85,14.90,11.62,80,tablet,MB240050,2030-03-15,no,yes,/assets/images/medicine-placeholder.svg,Ibuprofen; Pain & Fever; Beximco Pharmaceuticals,"Pain, fever and inflammation",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Ibuprofen
Ibuprofen 400mg Tablet INCE,,Ibuprofen,Incepta Pharmaceuticals,Pain & Fever,400mg,Tablet,10 units/strip,MB-00051,8801602000051,15.85,14.90,11.62,81,tablet,MB240051,2028-04-15,no,yes,/assets/images/medicine-placeholder.svg,Ibuprofen; Pain & Fever; Incepta Pharmaceuticals,"Pain, fever and inflammation",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Ibuprofen
Ibuprofen 400mg Tablet RENA,,Ibuprofen,Renata Limited,Pain & Fever,400mg,Tablet,10 units/strip,MB-00052,8801602000052,15.85,14.90,11.62,82,tablet,MB240052,2029-05-15,no,yes,/assets/images/medicine-placeholder.svg,Ibuprofen; Pain & Fever; Renata Limited,"Pain, fever and inflammation",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Ibuprofen
Ibuprofen 400mg Tablet OPSO,,Ibuprofen,Opsonin Pharma,Pain & Fever,400mg,Tablet,10 units/strip,MB-00053,8801602000053,15.85,14.90,11.62,83,tablet,MB240053,2030-06-15,no,yes,/assets/images/medicine-placeholder.svg,Ibuprofen; Pain & Fever; Opsonin Pharma,"Pain, fever and inflammation",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Ibuprofen
Ibuprofen 400mg Tablet ESKA,,Ibuprofen,Eskayef Pharmaceuticals,Pain & Fever,400mg,Tablet,10 units/strip,MB-00054,8801602000054,15.85,14.90,11.62,84,tablet,MB240054,2028-07-15,no,yes,/assets/images/medicine-placeholder.svg,Ibuprofen; Pain & Fever; Eskayef Pharmaceuticals,"Pain, fever and inflammation",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Ibuprofen
Ibuprofen 400mg Tablet ACI,,Ibuprofen,ACI Limited,Pain & Fever,400mg,Tablet,10 units/strip,MB-00055,8801602000055,15.85,14.90,11.62,85,tablet,MB240055,2029-08-15,no,yes,/assets/images/medicine-placeholder.svg,Ibuprofen; Pain & Fever; ACI Limited,"Pain, fever and inflammation",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Ibuprofen
Ibuprofen 400mg Tablet ARIS,,Ibuprofen,Aristopharma,Pain & Fever,400mg,Tablet,10 units/strip,MB-00056,8801602000056,15.85,14.90,11.62,86,tablet,MB240056,2030-09-15,no,yes,/assets/images/medicine-placeholder.svg,Ibuprofen; Pain & Fever; Aristopharma,"Pain, fever and inflammation",Use according to label or pharmacist advice.,May cause side effects in sensitive patients. Read label and consult pharmacist.,Keep out of reach of children.,Store below 30C in a dry place away from light.,Ibuprofen
